fundus,res
2569820_21016_0_0.png,1
5258367_21015_0_0.png,1
3731620_21015_0_0.png,1
3552492_21015_0_0.png,1
2048830_21016_0_0.png,1
3858719_21015_0_0.png,1
2901412_21016_0_0.png,1
2195975_21015_0_0.png,1
1522047_21016_0_0.png,1
3297577_21015_0_0.png,1
3329559_21016_0_0.png,1
4997606_21016_0_0.png,1
1494069_21016_0_0.png,1
4481629_21015_0_0.png,1
3374954_21016_0_0.png,1
4291689_21015_0_0.png,1
2780259_21016_0_0.png,1
1779773_21015_0_0.png,1
4755730_21016_0_0.png,1
2072562_21016_0_0.png,1
1509555_21016_0_0.png,1
3684562_21015_0_0.png,1
2675562_21015_0_0.png,1
1529343_21016_0_0.png,1
1425985_21016_0_1.png,1
3144736_21016_0_0.png,1
2041388_21016_0_0.png,1
5462550_21016_0_0.png,1
2940386_21015_0_0.png,1
3577908_21016_0_0.png,1
1696331_21016_0_0.png,1
5890251_21015_0_0.png,1
3334510_21015_0_0.png,1
4095564_21015_0_0.png,1
3015526_21015_0_0.png,1
4597370_21016_0_0.png,1
1977101_21015_0_0.png,1
3899384_21016_0_0.png,1
3206603_21015_0_0.png,1
4662792_21015_0_0.png,1
4245235_21015_0_0.png,1
1632672_21015_0_0.png,1
3945144_21016_0_0.png,1
2755560_21015_0_0.png,1
5366815_21015_0_0.png,1
1616050_21015_0_0.png,1
2172376_21016_0_0.png,1
1627653_21016_0_0.png,1
4623006_21016_0_0.png,1
3917644_21016_0_0.png,1
4975789_21016_0_0.png,1
4896397_21015_0_0.png,1
1055475_21016_0_0.png,1
5771834_21015_0_0.png,1
4788834_21016_0_0.png,1
4630092_21015_0_0.png,1
1652475_21015_0_0.png,1
2092404_21015_0_0.png,1
2828795_21016_0_0.png,1
2361806_21015_0_0.png,1
3619622_21016_0_0.png,1
3634385_21016_0_0.png,1
5317252_21015_0_0.png,1
2770892_21015_0_0.png,1
5064672_21015_0_0.png,1
5937941_21016_0_0.png,1
4720668_21016_0_0.png,1
2259882_21016_0_0.png,1
3305838_21016_0_0.png,1
4562149_21015_0_0.png,1
1876786_21016_0_0.png,1
2421270_21016_0_0.png,1
3167967_21016_0_0.png,1
4134694_21015_0_0.png,1
4555797_21015_0_0.png,1
4579988_21016_0_0.png,1
2660655_21016_0_0.png,1
1362470_21016_0_0.png,1
4809328_21015_0_0.png,1
5955392_21015_0_0.png,1
4804099_21015_0_0.png,1
1764444_21015_0_0.png,1
1171755_21016_0_0.png,1
5196211_21016_0_0.png,1
5924180_21016_0_0.png,1
3706380_21016_0_0.png,1
5922960_21015_0_0.png,1
2978516_21016_0_0.png,1
1735028_21015_0_0.png,1
1754997_21016_0_0.png,1
5660576_21015_0_0.png,1
5926954_21015_0_0.png,1
2659803_21015_0_0.png,1
3243043_21016_0_0.png,1
4013738_21015_0_0.png,1
4183988_21015_0_0.png,1
4649308_21016_0_0.png,1
1967371_21015_0_0.png,1
5146407_21015_0_0.png,1
5360940_21015_0_0.png,1
2879219_21016_0_0.png,1
3654837_21015_0_0.png,1
4029257_21015_0_0.png,1
5875166_21015_0_0.png,1
2100380_21016_0_0.png,1
2142710_21016_0_0.png,1
4622263_21015_0_0.png,1
1050624_21015_0_0.png,1
1216131_21016_0_0.png,1
5859744_21016_0_0.png,1
1434496_21016_0_0.png,1
3591106_21015_0_0.png,1
1256520_21016_0_0.png,1
2754705_21016_0_0.png,1
4384961_21016_0_0.png,1
1022732_21015_0_0.png,1
2326692_21015_0_0.png,1
5835577_21015_0_0.png,1
2304838_21015_0_0.png,1
3470599_21016_0_0.png,1
